HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM
HIGH,HIGH,HIGH,HIGH,CRITICAL,MEDIUM,HIGH,HIGH,HIGH,HIGH
MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH
MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH
HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM
HIGH,HIGH,HIGH,HIGH,HIGH,CRITICAL,HIGH,MEDIUM,MEDIUM,MEDIUM
HIGH,HIGH,CRITICAL,CRITICAL,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,MEDIUM
HIGH,MEDIUM,MEDIUM,CRITICAL,HIGH,HIGH,HIGH,CRITICAL,HIGH,CRITICAL
HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,CRITICAL
HIGH,HIGH,HIGH,HIGH,CRITICAL,CRITICAL,MEDIUM,CRITICAL,HIGH,HIGH
HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM
HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,CRITICAL
MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM
HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH
CRITICAL,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH
MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM
HIGH,HIGH,CRITICAL,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM
HIGH,HIGH,HIGH,CRITICAL,HIGH,HIGH,CRITICAL,MEDIUM,MEDIUM,LOW
HIGH,HIGH,LOW,LOW,MEDIUM,MEDIUM,HIGH,LOW,HIGH,LOW
HIGH,CRITICAL,HIGH,MEDIUM,CRITICAL,HIGH,HIGH,MEDIUM,HIGH,MEDIUM
MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,CRITICAL
HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM
MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM
MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,CRITICAL,MEDIUM,CRITICAL,HIGH
MEDIUM,MEDIUM,HIGH,HIGH,CRITICAL,MEDIUM,HIGH,HIGH,HIGH,HIGH
MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,CRITICAL,CRITICAL,HIGH,HIGH
MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM
MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH
HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH
HIGH,HIGH,HIGH,CRITICAL,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,CRITICAL
MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM
HIGH,MEDIUM,HIGH,HIGH,CRITICAL,HIGH,CRITICAL,MEDIUM,HIGH,HIGH
MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM
MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM
HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,CRITICAL,MEDIUM,HIGH,HIGH
HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,CRITICAL,HIGH,HIGH,HIGH
HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM
MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,CRITICAL,MEDIUM,HIGH,MEDIUM,MEDIUM
HIGH,MEDIUM,LOW,HIGH,CRITICAL,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH
CRITICAL,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,MEDIUM,CRITICAL,MEDIUM
