HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
LOW,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW
HIGH,CRITICAL,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH
MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM
MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,HIGH
HIGH,HIGH,HIGH,HIGH,HIGH,CRITICAL,MEDIUM,MEDIUM,HIGH,MEDIUM
CRITICAL,HIGH,CRITICAL,CRITICAL,HIGH,CRITICAL,HIGH,CRITICAL,CRITICAL,MEDIUM
HIGH,CRITICAL,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,CRITICAL,CRITICAL
MEDIUM,HIGH,HIGH,MEDIUM,CRITICAL,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM
HIGH,HIGH,CRITICAL,CRITICAL,HIGH,HIGH,HIGH,HIGH,CRITICAL,MEDIUM
MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM
HIGH,HIGH,HIGH,HIGH,HIGH,CRITICAL,HIGH,HIGH,HIGH,HIGH
MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH
MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
CRITICAL,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,HIGH
MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH
HIGH,HIGH,CRITICAL,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH
HIGH,HIGH,HIGH,HIGH,HIGH,LOW,MEDIUM,MEDIUM,CRITICAL,CRITICAL
HIGH,HIGH,LOW,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH
CRITICAL,HIGH,CRITICAL,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,HIGH
MEDIUM,MEDIUM,CRITICAL,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM
HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM
MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM
MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,CRITICAL,CRITICAL,HIGH
MEDIUM,HIGH,MEDIUM,HIGH,CRITICAL,HIGH,HIGH,MEDIUM,HIGH,HIGH
MEDIUM,HIGH,HIGH,MEDIUM,HIGH,CRITICAL,HIGH,CRITICAL,HIGH,HIGH
MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM
MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH
HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM
HIGH,HIGH,CRITICAL,HIGH,HIGH,MEDIUM,CRITICAL,HIGH,HIGH,MEDIUM
MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM
HIGH,MEDIUM,CRITICAL,MEDIUM,CRITICAL,HIGH,HIGH,HIGH,HIGH,HIGH
MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM
HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,HIGH
HIGH,HIGH,HIGH,HIGH,CRITICAL,HIGH,HIGH,HIGH,MEDIUM,HIGH
HIGH,HIGH,CRITICAL,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH
HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM
MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,CRITICAL,MEDIUM
HIGH,HIGH,CRITICAL,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM
CRITICAL,HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,CRITICAL,HIGH,MEDIUM
HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,HIGH,MEDIUM,HIGH,HIGH,CRITICAL
HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,HIGH
MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM
HIGH,MEDIUM,HIGH,HIGH,MEDIUM,CRITICAL,CRITICAL,MEDIUM,MEDIUM,MEDIUM
CRITICAL,CRITICAL,CRITICAL,CRITICAL,MEDIUM,CRITICAL,HIGH,CRITICAL,HIGH,MEDIUM
CRITICAL,HIGH,HIGH,HIGH,MEDIUM,CRITICAL,HIGH,MEDIUM,MEDIUM,MEDIUM
MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM
HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,CRITICAL,HIGH,HIGH
CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL
HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM
MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,CRITICAL
HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM
HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,CRITICAL,MEDIUM
MEDIUM,HIGH,HIGH,CRITICAL,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM
HIGH,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,CRITICAL
MEDIUM,MEDIUM,MEDIUM,CRITICAL,MEDIUM,MEDIUM,MEDIUM,MEDIUM,CRITICAL,MEDIUM
CRITICAL,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH
HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH
MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM
HIGH,MEDIUM,HIGH,HIGH,CRITICAL,HIGH,HIGH,HIGH,MEDIUM,MEDIUM
HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH
HIGH,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM
HIGH,HIGH,HIGH,CRITICAL,HIGH,HIGH,MEDIUM,CRITICAL,CRITICAL,HIGH
MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH
HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,CRITICAL,MEDIUM
